id,num_orders
1028232,61
1127204,22
1212707,158
1082698,113
1400926,62
1284113,195
1197966,94
1132739,51
1057981,56
1095932,82
1454421,140
1149765,173
1166964,197
1010949,16
1409575,106
1181616,85
1456020,34
1264395,79
1472931,167
1412015,130
1461229,122
1014564,196
1485914,76
1345389,171
1006833,6
1174921,91
1175393,120
1152412,10
1497398,74
1363486,191
1366766,184
1192413,102
1319547,176
1337684,138
1479766,188
1460444,110
1139730,111
1115056,133
1335827,200
1385333,91
1096323,91
1230693,124
1027016,140
1181520,127
1306234,162
1271440,110
1269834,84
1176823,182
1193098,166
1034878,1
1010243,175
1451807,159
1016845,51
1198021,101
1413802,67
1231223,64
1274226,45
1425142,151
1211593,84
1419190,161
1180223,182
1194932,120
1323477,142
1371595,87
1171521,152
1052384,52
1060921,4
1261811,34
1246502,28
1497466,77
1232717,30
1136112,105
1196334,177
1349533,109
1463406,200
1447686,78
1336105,164
1012855,175
1180646,173
1062490,29
1098228,140
1101375,181
1400016,169
1439889,106
1408468,158
1044490,64
1290002,146
1190633,30
1040430,192
1049366,186
1224120,26
1293810,200
1197335,136
1323989,102
1129467,71
1229328,177
1164395,104
1217722,188
1171266,43
1024905,101
1343027,14
1141892,83
1302404,34
1170447,147
1140772,155
1103484,35
1387134,164
1117711,10
1472121,86
1289523,43
1091114,89
1043572,81
1103283,99
1265051,119
1168741,122
1052776,47
1206564,186
1302153,194
1083754,87
1097952,88
1251605,100
1333032,148
1086936,20
1088412,86
1236400,117
1244516,178
1380381,127
1495062,128
1439647,118
1019214,160
1316160,98
1022008,162
1138248,47
1052922,58
1181474,120
1046475,140
1216688,75
1067565,2
1008328,114
1430287,53
1406716,96
1105380,88
1248694,29
1252163,180
1443474,95
1033716,196
1300295,10
1311882,163
1257968,132
1226362,179
1030655,60
1210527,16
1278927,116
1232239,48
1133067,157
1382522,117
1219136,141
1498130,107
1251629,149
1032092,110
1249865,6
1207630,19
1144733,160
1436768,171
1148964,179
1237346,99
1206015,172
1105113,87
1430481,140
1001589,184
1224132,167
1074380,118
1097109,110
1211246,99
1390579,101
1473058,85
1186964,136
1222837,116
1342393,134
1170472,185
1170791,62
1046653,93
1195179,36
1332509,173
1438300,72
1435748,177
1052668,107
1227060,125
1342252,133
1143109,28
1394807,52
1448374,56
1028680,150
1079691,47
1402079,19
1424446,150
1133297,23
1076214,140
1173823,190
1488584,51
1072892,65
1277491,19
1290868,111
1048888,58
1138141,186
1473125,174
1196726,103
1179278,6
1282305,194
1359903,27
1355143,26
1095889,97
1250665,14
1426610,38
1390104,82
1051519,109
1337584,135
1332667,187
1075942,56
1109804,27
1316684,151
1248315,193
1113611,187
1110867,113
1247289,113
1022953,199
1160081,183
1120430,101
1487280,125
1020081,123
1329551,166
1137610,54
1072530,9
1115708,105
1203532,55
1494216,73
1116374,111
1032497,11
1413930,145
1136118,153
1254872,3
1398257,27
1364001,175
1369843,74
1379360,111
1442044,39
1285290,11
1129707,137
1086750,113
1147262,146
1025605,180
1414158,169
1082079,91
1467510,157
1374892,47
1171352,112
1213246,20
1279131,47
1256386,65
1234220,121
1008206,120
1267686,119
1470186,130
1233312,134
1279379,129
1431703,22
1339938,33
1010552,175
1237947,43
1175098,102
1066074,101
1045918,166
1226081,72
1148633,76
1441429,93
1291804,90
1305194,164
1327840,80
1320801,136
1467101,134
1473989,178
1466330,38
1390856,139
1120639,46
1279275,5
1166120,150
1128404,21
1252491,162
1328056,181
1452353,127
1353276,100
1297182,6
1469299,193
1129687,49
1362599,72
1245170,48
1098570,63
1452600,103
1194207,157
1023619,173
1254600,125
1157094,7
1165391,42
1131248,116
1383646,68
1288250,181
1476141,79
1401237,9
1383510,188
1433607,6
1098207,91
1453624,155
1089046,58
1306954,136
1413179,41
1379869,79
1037218,164
1247919,160
1097438,122
1441938,126
1060769,81
1409283,161
1397517,86
1220386,86
1297481,92
1309280,8
1013813,63
1087803,134
1256077,151
1328392,102
1197947,168
1134877,166
1149222,98
1321757,60
1364052,100
1346914,74
1343936,199
1284997,113
1443980,126
1272226,179
1267791,156
1049345,79
1300007,133
1220471,69
1486124,53
1183373,186
1076787,104
1218918,65
1351627,162
1333350,114
1312936,43
1477543,171
1408514,50
1256773,197
1174904,91
1392815,29
1389126,63
1074816,136
1124612,85
1318251,139
1089252,122
1396463,142
1289632,81
1083889,83
1121896,168
1004866,103
1234436,181
1311318,119
1476647,146
1419834,182
1188670,178
1260238,128
1263791,77
1070835,156
1433069,5
1349084,89
1360259,176
1022475,161
1037167,126
1492031,75
1057541,57
1483675,116
1463966,11
1474096,45
1440771,59
1452763,18
1382621,145
1035365,154
1355984,175
1140520,100
1168148,175
1052343,154
1370827,82
1055728,139
1053449,7
1368579,44
1208370,107
1027455,138
1147326,181
1203029,177
1389643,173
1482071,48
1411487,136
1043533,166
1294351,24
1409427,75
1000264,133
1016463,140
1224218,155
1485114,14
1006410,108
1221242,36
1031339,40
1153545,112
